target_index,label,target_x,target_y,mean_avg_h,mean_avg_v,mean_pca_vL,mean_pca_vR,mean_face_y,mean_eye_box_h,predicted_x,predicted_y,train_error_px,loocv_error_px,sample_count
1,row0_left,196.0,169.0,0.6249372019680879,0.09076050981845248,-0.42171992112349704,-0.3951107777385095,0.6058004854453934,0.024509440693590376,215.62783086898185,169.0,19.627830868981846,55.20565165019835,36
2,row0_center,576.0,169.0,0.5355407180216649,0.06291035489531847,-0.3845914406143632,-0.4901662774037482,0.6045046364888549,0.02468792349100113,564.6466658814572,169.0,11.353334118542762,41.9873354457399,36
3,row0_right,1083.0,169.0,0.4643898179673917,0.04412726648246874,-0.4117454670350625,-0.6718023163387246,0.6019374804837363,0.023709653105054584,1102.3849111963586,169.0,19.384911196358644,54.44370825214142,35
4,row1_left,292.0,237.0,0.617879514224669,0.12200176456304639,-0.3850884902249908,-0.3706117340596867,0.6047521324621307,0.023988056513998244,251.65691121149814,237.0,40.34308878850186,65.88392076013572,36
5,row1_center,639.0,237.0,0.519886219721547,0.060093754401567466,-0.37981249119686505,-0.5254456705700998,0.6052986035744349,0.023515636722246807,683.3101248971863,237.0,44.310124897186256,53.170864530032254,36
6,row1_right,987.0,237.0,0.4814844662358843,0.061457832365796466,-0.377084335268407,-0.6021925117913478,0.6038235500454903,0.02291154944234424,975.0025716769293,237.0,11.997428323070721,15.011183633789688,36
7,row2_left,292.0,305.0,0.5981790578008656,0.14569973665409963,-0.34681199159496,-0.3620708254393464,0.6063563302159309,0.023698172786019066,334.92702307132384,305.0,42.927023071323845,73.44597379518174,36
8,row2_center,639.0,305.0,0.5288328958651876,0.07519157883938027,-0.354499594176185,-0.49512279111689467,0.6062903222110536,0.023033841616577573,646.0143845470766,305.0,7.014384547076588,14.582289941421509,36
9,row2_right,987.0,305.0,0.48782122415492424,0.08164502173878062,-0.33670995652243874,-0.5301667859512814,0.6058313076694807,0.02253157858337675,929.8243867072224,305.0,57.1756132927776,107.41647138867583,36
10,gap_0_1,640.0,203.0,0.5257334018617272,0.05890405783699192,-0.38219188432601614,-0.5336293061291394,0.604306492635182,0.023217583554131643,655.1441235868508,203.0,15.14412358685081,26.849198396098448,35
11,gap_1_2,640.0,271.0,0.524568941114099,0.06497799686571826,-0.37005096971461515,-0.513750005498533,0.6079206110702621,0.022903595119714737,662.0272378862494,271.0,22.027237886249395,25.804532198514664,36
12,row0_x28,449.0,169.0,0.5694438736763616,0.06526381180671442,-0.391879648651494,-0.477592727735077,0.6050411173039012,0.023815877297345328,407.8311763762995,169.0,41.16882362370052,63.17201708496456,36
13,row0_x72,829.0,169.0,0.5052548767023332,0.042930515417715726,-0.4141389691645686,-0.6432541542697193,0.6060054384999805,0.023110977477497525,814.9810750108479,169.0,14.018924989152083,27.33751241856878,36
14,row2_x28,524.0,305.0,0.5455724640202635,0.11167686300445287,-0.33888855755029257,-0.4378704454294713,0.6113393149442143,0.022716446883148618,547.3149190234576,305.0,23.314919023457605,33.41638489892342,36
15,row2_x72,755.0,305.0,0.5170222485467648,0.07685323077960915,-0.3462935384407817,-0.5220234822264607,0.6143147448698679,0.022627496544052574,737.3066580582617,305.0,17.693341941738254,22.914129961720757,36
