mapper_type,target_key,target_center_x,target_center_y,predicted_x,predicted_y,predicted_key,error_px,dx,dy,is_correct
pca4_baseline,Q,69.00,169.00,97.27,135.00,Q,44.22,28.27,-34.00,1
pca4_baseline,E,322.00,169.00,331.87,135.00,E,35.40,9.87,-34.00,1
pca4_baseline,T,576.00,169.00,691.69,146.76,Y,117.81,115.69,-22.24,0
pca4_baseline,U,829.00,169.00,854.92,135.00,U,42.75,25.92,-34.00,1
pca4_baseline,P,1209.00,169.00,1223.17,135.00,P,36.84,14.17,-34.00,1
pca4_baseline,A,176.00,237.00,222.63,170.72,W,81.04,46.63,-66.28,0
pca4_baseline,D,408.00,237.00,460.42,136.09,R,113.71,52.42,-100.91,0
pca4_baseline,G,639.00,237.00,746.06,135.00,Y,147.87,107.06,-102.00,0
pca4_baseline,J,871.00,237.00,914.22,135.00,I,110.78,43.22,-102.00,0
pca4_baseline,L,1102.00,237.00,1157.94,135.00,P,116.33,55.94,-102.00,0
pca4_baseline,Z,292.00,305.00,342.80,187.18,E,128.31,50.80,-117.82,0
pca4_baseline,C,524.00,305.00,624.65,157.04,T,178.95,100.65,-147.96,0
pca4_baseline,B,755.00,305.00,854.82,135.00,U,197.14,99.82,-170.00,0
pca4_baseline,M,987.00,305.00,1009.75,146.93,I,159.70,22.75,-158.07,0
pca4_baseline,Space,641.00,373.00,741.73,234.88,H,170.95,100.73,-138.12,0
pca4_decoupled_split,Q,69.00,169.00,97.27,135.00,Q,44.22,28.27,-34.00,1
pca4_decoupled_split,E,322.00,169.00,331.87,135.00,E,35.40,9.87,-34.00,1
pca4_decoupled_split,T,576.00,169.00,691.69,164.75,Y,115.77,115.69,-4.25,0
pca4_decoupled_split,U,829.00,169.00,854.92,135.00,U,42.75,25.92,-34.00,1
pca4_decoupled_split,P,1209.00,169.00,1223.17,135.00,P,36.84,14.17,-34.00,1
pca4_decoupled_split,A,176.00,237.00,222.63,147.34,W,101.06,46.63,-89.66,0
pca4_decoupled_split,D,408.00,237.00,460.42,138.16,R,111.88,52.42,-98.84,0
pca4_decoupled_split,G,639.00,237.00,746.06,145.04,Y,141.13,107.06,-91.96,0
pca4_decoupled_split,J,871.00,237.00,914.22,135.00,I,110.78,43.22,-102.00,0
pca4_decoupled_split,L,1102.00,237.00,1157.94,135.00,P,116.33,55.94,-102.00,0
pca4_decoupled_split,Z,292.00,305.00,342.80,159.78,E,153.85,50.80,-145.22,0
pca4_decoupled_split,C,524.00,305.00,624.65,135.93,T,196.76,100.65,-169.07,0
pca4_decoupled_split,B,755.00,305.00,854.82,135.00,U,197.14,99.82,-170.00,0
pca4_decoupled_split,M,987.00,305.00,1009.75,135.00,I,171.51,22.75,-170.00,0
pca4_decoupled_split,Space,641.00,373.00,741.73,163.04,Y,232.87,100.73,-209.96,0
poly12_ridge,Q,69.00,169.00,143.14,135.00,W,81.57,74.14,-34.00,0
poly12_ridge,E,322.00,169.00,287.32,142.04,E,43.93,-34.68,-26.96,1
poly12_ridge,T,576.00,169.00,683.11,135.00,Y,112.38,107.11,-34.00,0
poly12_ridge,U,829.00,169.00,919.84,135.00,I,96.99,90.84,-34.00,0
poly12_ridge,P,1209.00,169.00,1272.00,135.00,P,71.59,63.00,-34.00,1
poly12_ridge,A,176.00,237.00,242.41,140.96,W,116.76,66.41,-96.04,0
poly12_ridge,D,408.00,237.00,437.61,136.89,R,104.40,29.61,-100.11,0
poly12_ridge,G,639.00,237.00,778.88,135.00,U,173.12,139.88,-102.00,0
poly12_ridge,J,871.00,237.00,990.76,135.00,I,157.31,119.76,-102.00,0
poly12_ridge,L,1102.00,237.00,1272.00,135.00,P,198.25,170.00,-102.00,0
poly12_ridge,Z,292.00,305.00,353.72,216.96,D,107.51,61.72,-88.04,0
poly12_ridge,C,524.00,305.00,643.19,194.37,Y,162.62,119.19,-110.63,0
poly12_ridge,B,755.00,305.00,906.08,135.00,I,227.43,151.08,-170.00,0
poly12_ridge,M,987.00,305.00,1095.58,161.71,O,179.78,108.58,-143.29,0
poly12_ridge,Space,641.00,373.00,780.20,247.00,H,187.76,139.20,-126.00,0
poly12_ridge_split,Q,69.00,169.00,143.14,135.00,W,81.57,74.14,-34.00,0
poly12_ridge_split,E,322.00,169.00,287.32,142.04,E,43.93,-34.68,-26.96,1
poly12_ridge_split,T,576.00,169.00,683.11,135.00,Y,112.38,107.11,-34.00,0
poly12_ridge_split,U,829.00,169.00,919.84,135.00,I,96.99,90.84,-34.00,0
poly12_ridge_split,P,1209.00,169.00,1272.00,135.00,P,71.59,63.00,-34.00,1
poly12_ridge_split,A,176.00,237.00,242.41,140.96,W,116.76,66.41,-96.04,0
poly12_ridge_split,D,408.00,237.00,437.61,136.89,R,104.40,29.61,-100.11,0
poly12_ridge_split,G,639.00,237.00,778.88,135.00,U,173.12,139.88,-102.00,0
poly12_ridge_split,J,871.00,237.00,990.76,135.00,I,157.31,119.76,-102.00,0
poly12_ridge_split,L,1102.00,237.00,1272.00,135.00,P,198.25,170.00,-102.00,0
poly12_ridge_split,Z,292.00,305.00,353.72,216.96,D,107.51,61.72,-88.04,0
poly12_ridge_split,C,524.00,305.00,643.19,194.37,Y,162.62,119.19,-110.63,0
poly12_ridge_split,B,755.00,305.00,906.08,135.00,I,227.43,151.08,-170.00,0
poly12_ridge_split,M,987.00,305.00,1095.58,161.71,O,179.78,108.58,-143.29,0
poly12_ridge_split,Space,641.00,373.00,780.20,247.00,H,187.76,139.20,-126.00,0
