target_key,target_center_x,target_center_y,predicted_x,predicted_y,predicted_key,error_px,dx,dy,is_correct
Q,73.00,180.00,116.47,165.94,Q,45.69,43.47,-14.06,1
E,344.00,180.00,426.35,181.86,R,82.37,82.35,1.86,0
T,614.00,180.00,674.49,176.26,T,60.61,60.49,-3.74,1
U,885.00,180.00,895.81,203.75,U,26.10,10.81,23.75,1
P,1291.00,180.00,1358.00,151.35,P,72.87,67.00,-28.65,1
A,188.00,253.00,228.39,198.56,W,67.78,40.39,-54.44,0
D,435.00,253.00,564.47,288.84,F,134.34,129.47,35.84,0
G,682.00,253.00,760.72,145.50,Y,133.24,78.72,-107.50,0
J,929.00,253.00,973.67,192.35,I,75.33,44.67,-60.65,0
L,1176.00,253.00,1277.12,144.93,P,148.00,101.12,-108.07,0
Z,312.00,326.00,441.51,333.15,X,129.70,129.51,7.15,0
C,559.00,326.00,647.62,259.21,G,110.97,88.62,-66.79,0
B,806.00,326.00,862.77,292.83,B,65.75,56.77,-33.17,1
M,1053.00,326.00,1107.63,214.96,O,123.76,54.63,-111.04,0
Space,684.00,399.00,777.92,281.45,H,150.46,93.92,-117.55,0
