layout_version,generated_at_iso,window_global_x,window_global_y,window_w,window_h,typing_region_x,typing_region_y,typing_region_w,typing_region_h,key_id,key_label,key_action,row_index,col_index,rect_x,rect_y,rect_w,rect_h,center_x,center_y,hitbox_x0,hitbox_y0,hitbox_x1,hitbox_y1,is_special_key,weight
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r00c00:👁 CALIBRATE,👁 CALIBRATE,👁 CALIBRATE,0,0,8,8,220,49,117.0,32.0,2,2,233,62,True,1.25
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r01c00:q,q,q,1,0,8,137,124,65,69.0,169.0,2,131,137,207,False,1.0
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r01c01:w,w,w,1,1,135,137,123,65,196.0,169.0,129,131,263,207,False,1.0
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r01c02:e,e,e,1,2,261,137,124,65,322.0,169.0,255,131,390,207,False,1.0
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r01c03:r,r,r,1,3,388,137,124,65,449.0,169.0,382,131,517,207,False,1.0
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r01c04:t,t,t,1,4,515,137,123,65,576.0,169.0,509,131,643,207,False,1.0
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r01c05:y,y,y,1,5,641,137,124,65,702.0,169.0,635,131,770,207,False,1.0
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r01c06:u,u,u,1,6,768,137,124,65,829.0,169.0,762,131,897,207,False,1.0
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r01c07:i,i,i,1,7,895,137,124,65,956.0,169.0,889,131,1024,207,False,1.0
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r01c08:o,o,o,1,8,1022,137,123,65,1083.0,169.0,1016,131,1150,207,False,1.0
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r01c09:p,p,p,1,9,1148,137,124,65,1209.0,169.0,1142,131,1277,207,False,1.0
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r02c00:a,a,a,2,0,121,205,112,65,176.0,237.0,115,199,238,275,False,1.0
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r02c01:s,s,s,2,1,236,205,113,65,292.0,237.0,230,199,354,275,False,1.0
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r02c02:d,d,d,2,2,352,205,113,65,408.0,237.0,346,199,470,275,False,1.0
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r02c03:f,f,f,2,3,468,205,113,65,524.0,237.0,462,199,586,275,False,1.0
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r02c04:g,g,g,2,4,584,205,112,65,639.0,237.0,578,199,701,275,False,1.0
ba43e845ddde0ab9,2026-06-04T07:06:23.707685+00:00,0,0,1280,416,8,86,1264,322,r02c05:h,h,h,2,5,699,205,113,65,755.0,237.0,693,199,817,275,False,1.0
