mapper_type,target_key,target_center_x,target_center_y,predicted_x,predicted_y,predicted_key,error_px,dx,dy,is_correct
pca4_baseline,Q,69.00,169.00,117.68,201.76,Q,58.68,48.68,32.76,1
pca4_baseline,E,322.00,169.00,331.85,214.78,S,46.83,9.85,45.78,0
pca4_baseline,T,576.00,169.00,666.46,135.26,Y,96.55,90.46,-33.74,0
pca4_baseline,U,829.00,169.00,888.14,135.00,U,68.22,59.14,-34.00,1
pca4_baseline,P,1209.00,169.00,1216.21,177.42,P,11.09,7.21,8.42,1
pca4_baseline,A,176.00,237.00,224.10,198.97,W,61.32,48.10,-38.03,0
pca4_baseline,D,408.00,237.00,479.64,197.21,R,81.95,71.64,-39.79,0
pca4_baseline,G,639.00,237.00,742.41,183.83,Y,116.28,103.41,-53.17,0
pca4_baseline,J,871.00,237.00,968.05,142.13,I,135.72,97.05,-94.87,0
pca4_baseline,L,1102.00,237.00,1171.24,160.58,P,103.13,69.24,-76.42,0
pca4_baseline,Z,292.00,305.00,425.44,268.36,D,138.38,133.44,-36.64,0
pca4_baseline,C,524.00,305.00,676.75,226.87,G,171.58,152.75,-78.13,0
pca4_baseline,B,755.00,305.00,903.89,135.80,I,225.38,148.89,-169.20,0
pca4_baseline,M,987.00,305.00,1162.16,203.08,P,202.65,175.16,-101.92,0
pca4_baseline,Space,641.00,373.00,774.80,316.78,B,145.13,133.80,-56.22,0
pca4_decoupled_split,Q,69.00,169.00,117.68,219.99,A,70.50,48.68,50.99,0
pca4_decoupled_split,E,322.00,169.00,331.85,233.45,S,65.20,9.85,64.45,0
pca4_decoupled_split,T,576.00,169.00,666.46,135.03,Y,96.63,90.46,-33.97,0
pca4_decoupled_split,U,829.00,169.00,888.14,135.00,U,68.22,59.14,-34.00,1
pca4_decoupled_split,P,1209.00,169.00,1216.21,176.49,P,10.40,7.21,7.49,1
pca4_decoupled_split,A,176.00,237.00,224.10,211.38,A,54.50,48.10,-25.62,1
pca4_decoupled_split,D,408.00,237.00,479.64,212.82,F,75.61,71.64,-24.18,0
pca4_decoupled_split,G,639.00,237.00,742.41,190.69,Y,113.31,103.41,-46.31,0
pca4_decoupled_split,J,871.00,237.00,968.05,151.37,I,129.43,97.05,-85.63,0
pca4_decoupled_split,L,1102.00,237.00,1171.24,169.00,P,97.05,69.24,-68.00,0
pca4_decoupled_split,Z,292.00,305.00,425.44,317.72,X,134.04,133.44,12.72,0
pca4_decoupled_split,C,524.00,305.00,676.75,240.13,G,165.96,152.75,-64.87,0
pca4_decoupled_split,B,755.00,305.00,903.89,146.83,I,217.22,148.89,-158.17,0
pca4_decoupled_split,M,987.00,305.00,1162.16,207.85,P,200.30,175.16,-97.15,0
pca4_decoupled_split,Space,641.00,373.00,774.80,339.66,B,137.89,133.80,-33.34,0
poly12_ridge,Q,69.00,169.00,170.21,210.24,A,109.29,101.21,41.24,0
poly12_ridge,E,322.00,169.00,303.45,175.48,E,19.65,-18.55,6.48,1
poly12_ridge,T,576.00,169.00,641.28,135.07,Y,73.57,65.28,-33.93,0
poly12_ridge,U,829.00,169.00,971.97,136.13,I,146.70,142.97,-32.87,0
poly12_ridge,P,1209.00,169.00,1272.00,177.51,P,63.57,63.00,8.51,1
poly12_ridge,A,176.00,237.00,247.55,201.58,W,79.84,71.55,-35.42,0
poly12_ridge,D,408.00,237.00,448.51,209.20,D,49.14,40.51,-27.80,1
poly12_ridge,G,639.00,237.00,710.87,187.97,Y,87.00,71.87,-49.03,0
poly12_ridge,J,871.00,237.00,1027.51,141.59,O,183.30,156.51,-95.41,0
poly12_ridge,L,1102.00,237.00,1272.00,148.39,P,191.71,170.00,-88.61,0
poly12_ridge,Z,292.00,305.00,429.10,256.77,D,145.34,137.10,-48.23,0
poly12_ridge,C,524.00,305.00,676.47,210.95,G,179.14,152.47,-94.05,0
poly12_ridge,B,755.00,305.00,956.52,177.90,I,238.26,201.52,-127.10,0
poly12_ridge,M,987.00,305.00,1218.49,199.92,P,254.22,231.49,-105.08,0
poly12_ridge,Space,641.00,373.00,794.94,233.20,H,207.94,153.94,-139.80,0
poly12_ridge_split_decoupled_y,Q,69.00,169.00,170.21,209.64,A,109.06,101.21,40.64,0
