target_key,target_center_x,target_center_y,predicted_x,predicted_y,predicted_key,error_px,dx,dy,is_correct
Q,69.00,169.00,170.21,209.64,A,109.06,101.21,40.64,0
E,322.00,169.00,303.45,204.49,S,40.04,-18.55,35.49,0
T,576.00,169.00,641.28,135.00,Y,73.60,65.28,-34.00,0
U,829.00,169.00,971.97,136.38,I,146.65,142.97,-32.62,0
P,1209.00,169.00,1272.00,173.13,P,63.14,63.00,4.13,1
A,176.00,237.00,247.55,203.49,S,79.01,71.55,-33.51,0
D,408.00,237.00,448.51,224.84,D,42.30,40.51,-12.16,1
G,639.00,237.00,710.87,201.66,Y,80.09,71.87,-35.34,0
J,871.00,237.00,1027.51,159.05,O,174.85,156.51,-77.95,0
L,1102.00,237.00,1272.00,149.24,P,191.32,170.00,-87.76,0
Z,292.00,305.00,429.10,307.26,X,137.12,137.10,2.26,0
C,524.00,305.00,676.47,224.17,G,172.57,152.47,-80.83,0
B,755.00,305.00,956.52,192.53,I,230.79,201.52,-112.47,0
M,987.00,305.00,1218.49,198.86,P,254.66,231.49,-106.14,0
Space,641.00,373.00,794.94,259.84,H,191.06,153.94,-113.16,0
