mapper_type,target_key,target_center_x,target_center_y,predicted_x,predicted_y,predicted_key,error_px,dx,dy,is_correct
pca4_baseline,Q,69.00,169.00,75.64,136.63,Q,33.04,6.64,-32.37,1
pca4_baseline,E,322.00,169.00,311.99,167.50,E,10.12,-10.01,-1.50,1
pca4_baseline,T,576.00,169.00,683.34,135.00,Y,112.59,107.34,-34.00,0
pca4_baseline,U,829.00,169.00,845.31,135.00,U,37.71,16.31,-34.00,1
pca4_baseline,P,1209.00,169.00,1220.50,284.10,⌫,115.67,11.50,115.10,0
pca4_baseline,A,176.00,237.00,167.26,166.73,W,70.81,-8.74,-70.27,0
pca4_baseline,D,408.00,237.00,431.13,222.92,D,27.07,23.13,-14.08,1
pca4_baseline,G,639.00,237.00,716.47,168.48,Y,103.42,77.47,-68.52,0
pca4_baseline,J,871.00,237.00,862.23,152.85,U,84.60,-8.77,-84.15,0
pca4_baseline,L,1102.00,237.00,1136.60,206.49,L,46.13,34.60,-30.51,1
pca4_baseline,Z,292.00,305.00,300.19,250.29,S,55.32,8.19,-54.71,0
pca4_baseline,C,524.00,305.00,579.75,227.16,F,95.75,55.75,-77.84,0
pca4_baseline,B,755.00,305.00,836.06,168.23,U,158.98,81.06,-136.77,0
pca4_baseline,M,987.00,305.00,1008.89,256.60,K,53.12,21.89,-48.40,0
pca4_baseline,Space,641.00,373.00,727.63,251.29,H,149.39,86.63,-121.71,0
pca4_decoupled_split,Q,69.00,169.00,75.64,135.00,Q,34.64,6.64,-34.00,1
pca4_decoupled_split,E,322.00,169.00,311.99,135.00,E,35.44,-10.01,-34.00,1
pca4_decoupled_split,T,576.00,169.00,683.34,135.00,Y,112.59,107.34,-34.00,0
pca4_decoupled_split,U,829.00,169.00,845.31,135.00,U,37.71,16.31,-34.00,1
pca4_decoupled_split,P,1209.00,169.00,1220.50,272.74,⌫,104.37,11.50,103.74,0
pca4_decoupled_split,A,176.00,237.00,167.26,135.00,W,102.37,-8.74,-102.00,0
pca4_decoupled_split,D,408.00,237.00,431.13,172.78,R,68.26,23.13,-64.22,0
pca4_decoupled_split,G,639.00,237.00,716.47,135.52,Y,127.66,77.47,-101.48,0
pca4_decoupled_split,J,871.00,237.00,862.23,153.28,U,84.18,-8.77,-83.72,0
pca4_decoupled_split,L,1102.00,237.00,1136.60,185.15,O,62.33,34.60,-51.85,0
pca4_decoupled_split,Z,292.00,305.00,300.19,162.49,E,142.74,8.19,-142.51,0
pca4_decoupled_split,C,524.00,305.00,579.75,165.68,T,150.06,55.75,-139.32,0
pca4_decoupled_split,B,755.00,305.00,836.06,135.00,U,188.34,81.06,-170.00,0
pca4_decoupled_split,M,987.00,305.00,1008.89,170.05,I,136.71,21.89,-134.95,0
pca4_decoupled_split,Space,641.00,373.00,727.63,156.94,Y,232.78,86.63,-216.06,0
poly12_ridge,Q,69.00,169.00,91.11,137.75,Q,38.28,22.11,-31.25,1
poly12_ridge,E,322.00,169.00,253.04,140.83,W,74.49,-68.96,-28.17,0
poly12_ridge,T,576.00,169.00,618.97,167.53,T,42.99,42.97,-1.47,1
poly12_ridge,U,829.00,169.00,843.10,135.00,U,36.81,14.10,-34.00,1
poly12_ridge,P,1209.00,169.00,1272.00,287.78,⌫,134.46,63.00,118.78,0
poly12_ridge,A,176.00,237.00,169.92,195.15,W,42.28,-6.08,-41.85,0
poly12_ridge,D,408.00,237.00,383.48,231.20,D,25.20,-24.52,-5.80,1
poly12_ridge,G,639.00,237.00,698.10,185.33,Y,78.50,59.10,-51.67,0
poly12_ridge,J,871.00,237.00,886.39,153.63,U,84.77,15.39,-83.37,0
poly12_ridge,L,1102.00,237.00,1270.75,211.11,P,170.73,168.75,-25.89,0
poly12_ridge,Z,292.00,305.00,260.80,242.12,S,70.20,-31.20,-62.88,0
poly12_ridge,C,524.00,305.00,541.30,236.66,F,70.50,17.30,-68.34,0
poly12_ridge,B,755.00,305.00,877.62,196.39,U,163.81,122.62,-108.61,0
poly12_ridge,M,987.00,305.00,1119.69,275.05,⌫,136.03,132.69,-29.95,0
poly12_ridge,Space,641.00,373.00,758.53,276.09,B,152.33,117.53,-96.91,0
poly12_ridge_split,Q,69.00,169.00,91.11,137.75,Q,38.28,22.11,-31.25,1
poly12_ridge_split,E,322.00,169.00,253.04,140.83,W,74.49,-68.96,-28.17,0
poly12_ridge_split,T,576.00,169.00,618.97,167.53,T,42.99,42.97,-1.47,1
poly12_ridge_split,U,829.00,169.00,843.10,135.00,U,36.81,14.10,-34.00,1
poly12_ridge_split,P,1209.00,169.00,1272.00,287.78,⌫,134.46,63.00,118.78,0
poly12_ridge_split,A,176.00,237.00,169.92,195.15,W,42.28,-6.08,-41.85,0
poly12_ridge_split,D,408.00,237.00,383.48,231.20,D,25.20,-24.52,-5.80,1
poly12_ridge_split,G,639.00,237.00,698.10,185.33,Y,78.50,59.10,-51.67,0
poly12_ridge_split,J,871.00,237.00,886.39,153.63,U,84.77,15.39,-83.37,0
poly12_ridge_split,L,1102.00,237.00,1270.75,211.11,P,170.73,168.75,-25.89,0
poly12_ridge_split,Z,292.00,305.00,260.80,242.12,S,70.20,-31.20,-62.88,0
poly12_ridge_split,C,524.00,305.00,541.30,236.66,F,70.50,17.30,-68.34,0
poly12_ridge_split,B,755.00,305.00,877.62,196.39,U,163.81,122.62,-108.61,0
poly12_ridge_split,M,987.00,305.00,1119.69,275.05,⌫,136.03,132.69,-29.95,0
poly12_ridge_split,Space,641.00,373.00,758.53,276.09,B,152.33,117.53,-96.91,0
