target_key,target_center_x,target_center_y,predicted_x,predicted_y,predicted_key,error_px,dx,dy,is_correct
Q,69.00,169.00,97.27,135.00,Q,44.22,28.27,-34.00,1
E,322.00,169.00,331.87,135.00,E,35.40,9.87,-34.00,1
T,576.00,169.00,691.69,146.76,Y,117.81,115.69,-22.24,0
U,829.00,169.00,854.92,135.00,U,42.75,25.92,-34.00,1
P,1209.00,169.00,1223.17,135.00,P,36.84,14.17,-34.00,1
A,176.00,237.00,222.63,170.72,W,81.04,46.63,-66.28,0
D,408.00,237.00,460.42,136.09,R,113.71,52.42,-100.91,0
G,639.00,237.00,746.06,135.00,Y,147.87,107.06,-102.00,0
J,871.00,237.00,914.22,135.00,I,110.78,43.22,-102.00,0
L,1102.00,237.00,1157.94,135.00,P,116.33,55.94,-102.00,0
Z,292.00,305.00,342.80,187.18,E,128.31,50.80,-117.82,0
C,524.00,305.00,624.65,157.04,T,178.95,100.65,-147.96,0
B,755.00,305.00,854.82,135.00,U,197.14,99.82,-170.00,0
M,987.00,305.00,1009.75,146.93,I,159.70,22.75,-158.07,0
Space,641.00,373.00,741.73,234.88,H,170.95,100.73,-138.12,0
